İlerleme	=COUNTIF(E:E;TRUE)&" / "&(COUNTA(E:E)-1)				Formül Türkçe locale (;) için. Sheets İngilizce locale ise ; yerine , kullan.
3.2	Stage hazırla	STAGE=$(mktemp -d); 4 jsonl kopyala; cp CARD.md "$STAGE/README.md"	stage'de tam 5 dosya	FALSE	Yerinde yükleme YAPMA: ../data/ içinde Flutter dönemi train/eval ve persona_* bölmeleri de duruyor. CARD.md repo'ya README.md olarak varmak zorunda.
3.3	Tek commit'te yükle	hf upload Emrahisik/rubric-dataset "$STAGE" . --repo-type=dataset	commit URL döndü	FALSE	Beş dosya tek commit: karttaki configs: bloğu veri dosyalarını adlandırıyor, kart veriden önce inerse viewer bir kez boşluğa build eder ve sonra yeniden. rubric_train.jsonl 10 MB üstü, LFS'e iner — normal.
3.4	"0/0 uploaded" çıktısı başarısızlık okunmadı	—	—	FALSE	TUZAK: başarılı ilk yayın "5/5 files checked, 0/0 uploaded (0.00B transferred), 0 committed in 0 commit(s)" bastı, sonra commit URL döndürdü ve beş dosya da Hub'daydı. Çıktının sıfırlarına değil API'ye bak.
3.5	Frontmatter parse edildi	curl -sS https://huggingface.co/api/datasets/Emrahisik/rubric-dataset	yanıtta cardData.configs VAR	FALSE	Bozuk bir configs: bloğu = sorunsuz yüklenmiş dosyalar, düzgün görünen bir sayfa, ve burada configs yok. Gerçek onay bu alan.
3.6	Viewer build'i bitti	curl -sS "https://datasets-server.huggingface.co/size?dataset=Emrahisik/rubric-dataset"	pending == [] VE size.splits != [] VE failed boş	FALSE	TUZAK: iki bekleme hali var. İkincisi tamamen dolu ama tüm sayıları sıfır bir iskelet döndürür (num_rows: 0, splits: []). num_rows arayan bir hazırlık kontrolü burada eşleşir ve boş veri seti üzerinde başarı raporlar. failed de kontrol edilmeli, yoksa hata veren config sonsuza kadar "çalışıyor" görünür.
3.7	Yükleyici viewer ile aynı fikirde	load_dataset("Emrahisik/rubric-dataset", "rubric" / "contrast")	rubric 1600/200 — contrast 60/60	FALSE	Yüklemenin inmesi ile veri setinin çalışması aynı şey değil; ikisini de kontrol et.
3.8	CARD.md provenance güncel	git log -1 --format=%h -- ../build_dataset.py ../merge_rubric_sets.py ../build_contrast_set.py	SHA temiz ağaçtan okundu	FALSE	Yalnız yeniden yayında. Üreteç değişikliği ÖNCE commit'lenir: kirli ağaçtan okunan SHA kimsenin checkout edemeyeceği bir durumu tarif eder, SHA'sız halden kötüdür. Kompozisyon tablosu (bulgu sayısı, absent oranı, skor dağılımı) ölçülür — göz kararı düzeltilmez.
■ 4. EĞİTİM
4.1	Adım maliyetini ölç	kaggle kernels push -p probe	~15 dk; saniye/satır basıldı	FALSE	Bu adım sıraya sonradan girdi: olmadığı hal 12 saate ve haftalık GPU kotasının üçte birine mal oldu.
4.2	Projeksiyon 12 saatin altında mı	(probe çıktısından)	ALTINDA DEĞİLSE train'i PUSH ETME	FALSE	Ölçülen maliyet ~1880 token'lık satır başına 28-35 s, yani tam koşu 4800 satır geçişi = 38-47 saat; Kaggle oturumu 12 saat. Çözüm DDP (torchrun, iki T4) ya da resume_from_checkpoint. Çözüm DEĞİL: --epochs veya --max-seq-len kırpmak — kırpma soldan olduğu için vakanın başını atar ve modele görmediği kanıta atıf yapmayı öğretir, üstelik normal görünen bir loss'la.
4.3	Taban kapısı geçildi	(train notebook, bölüm 1 — assert)	present_score_mae 0,77 / hallucinated_quotes %1,3 / absent_rate %89 / schema_valid %95	FALSE	TUZAK: bu kapı eskiden sonucu out/base_gate.json'a yazıp geçiyordu ve hiçbir hücre okumuyordu — ilk koşu, tabanın işi zaten yaptığı bilgisinin üstünden eğitime girdi. Artık assert. Eğitilecek şey present_score_mae; absent_rate ve schema_valid taban.
4.4	Eğitimi başlat	kaggle kernels push -p train	adapter ağırlıkları yazıldı	FALSE	Kutuda değil Kaggle'da, çünkü kutuda eğitim docker compose stop mlc gerektiriyor ve ürün 3+ saat çıkarımsız kalıyor.
4.5	Save Version alındı	—	koşunun kayıtlı bir sürümü var	FALSE	Eval notebook'u adapter'ı kernel_sources ile buradan alıyor, kayıtlı sürüm yoksa koşamaz. İptal edilen 29 Temmuz koşusunda hiçbir ağırlık yazılmadı, dolayısıyla eval'in alacağı da olmadı.
■ 5. ÖLÇÜM VE YAYINA ALMA
5.1	Ölçümü koş	kaggle kernels push -p eval	~3 saat	FALSE	Taban ve adapter AYNI oturumda, aynı kütüphane sürümleriyle. Mount'lar dosya adıyla değil slug'la ayırt ediliyor (find_mount): kernel_sources ile gelen çıktı o koşunun /kaggle/working'inin tamamıdır ve veri kopyalarını da taşır.
5.2	Kazanç clean üzerinden okundu	—	—	FALSE	TUZAK: base model zaten kanıtı takip ediyor, eski eval metriği tavana çarpar ve gerçek olmayan bir adapter kazancı gösterir. Flutter v8'de bu tavana eğitim bittikten sonra çarpıldı.
5.3	Tabanlar korundu	—	absent_rate ve schema_valid taban altına DÜŞMEDİ	FALSE	Düşerse build yayına alınmaz.
5.4	Contrast üç sayı okundu	—	direction / stability / consistency	FALSE	absent_rate yükselip consistency yükselmiyorsa kazanç muhtemelen ezber ve build yayına alınmaz. stability'yi absent_rate göremez, çünkü hiç iki cevabı birbiriyle karşılaştırmaz.
5.5	Adapter indirildi	—	ağırlıklar GPU kutusunda	FALSE
5.6	Adapter merge	python3 merge_adapter.py --adapter <indirilen> --base-model Qwen/Qwen3-4B-Instruct-2507	—	FALSE	GPU kutusunda, Kaggle'da değil.
5.7	MLC derlemesi	./build_mlc.sh --name rubric-v1	—	FALSE	TUZAK: mlc_llm isteğin model alanını DOĞRULAMAZ. Yüklediği tek modelden cevaplar ve sorduğun id'yi geri yansıtır; yanlış id hata değildir, bir model cevaplarken kayıtlar ve dashboard'lar başkasını etiketler.
5.8	Yayın kararı	compare.py	vakalar ürünün kendi /analysis/trial rotasından geçti	FALSE	Kararı compare.py verir: rubrik, prompt, tırnak nötrleştirme, parser ve puanlama kanıtlanabilir biçimde üretimin kullandıkları olur. rubric_eval.py "bu adapter davranışı öğrendi mi"yi cevaplar, "ürünün raporları iyileşti mi"yi CEVAPLAMAZ — buradaki hiçbir sayı öyleymiş gibi aktarılmamalı.
